KLSE,KLK,Kuala Lumpur Kepong Berhad,
KLSE,KOSSAN,Kossan Rubber Industries Bhd,
KLSE,KPJ,KPJ Healthcare Bhd,
KLSE,LAFMSIA,Lafarge Malaysia Berhad,
KLSE,LPI,LPI Capital Bhd,
KLSE,MALAKOF,Malakoff Corporation Berhad,
KLSE,MAXIS,Maxis Berhad,
KLSE,MAYBANK,Malayan Banking Berhad,
KLSE,MBSB,Malaysia Building Society Bhd,
KLSE,MISC,MISC Berhad,
KLSE,MMCCORP,MMC Corporation Bhd,
KLSE,NESTLE,Nestlé (Malaysia) Berhad,
KLSE,ORIENT,Oriental Holdings Bhd,
KLSE,PAVREIT,Pavilion Real Estate Investment Trust,
KLSE,PBBANK,Public Bank Berhad,
KLSE,PCHEM,Petronas Chemicals Group Berhad,
KLSE,PETDAG,Petronas Dagangan Bhd,
KLSE,PETGAS,Petronas Gas Bhd,
KLSE,PPB,PPB Group Berhad,
KLSE,QL,QL Resources Berhad,
KLSE,RHBCAP,RHB Capital Berhad,
KLSE,SIME,Sime Darby Berhad,
KLSE,SKPETRO,SapuraKencana Petroleum Berhad,
KLSE,SPSETIA,S P Setia Berhad,
KLSE,SUNREIT,Sunway Real Estate Investment Trust,
KLSE,SUNWAY,Sunway Berhad,
KLSE,TENAGA,Tenaga Nasional Berhad,
KLSE,TM,Telekom Malaysia Berhad,
KLSE,UEMS,UEM Sunrise Berhad,
KLSE,UMW,UMW Holdings Bhd,
KLSE,UTDPLT,United Plantations Bhd,
KLSE,WPRTS,Westports Holdings Berhad,
KLSE,YTL,YTL Corporation Berhad,
KLSE,YTLPOWR,YTL Power International Berhad,
PSE,AC,Ayala Corp.,
PSE,AEV,Aboitiz Equity Ventures Inc.,
PSE,AGI,Alliance Global Group Inc.,
PSE,ALI,Ayala Land, Inc.,
PSE,AP,Aboitiz Power Corp.,
PSE,BDO,BDO Unibank, Inc.,
PSE,BPI,Bank of the Philippine Islands,
PSE,DMC,DMCI Holdings, Inc.,
PSE,DTEL,Philippine Long Distance Telephone Company,
PSE,EDC,Energy Development Corporation,
PSE,EMP,Emperador Inc.,
PSE,GLO,Globe Telecom Inc.,
PSE,GTCAP,GT Capital Holdings, Inc.,
PSE,ICT,International Container Terminal Services Inc.,
PSE,JFC,Jollibee Foods Corp.,
PSE,JGS,JG Summit Holdings, Inc.,
PSE,LTG,LT Group, Inc.,
PSE,MBT,Metropolitan Bank & Trust Company,
PSE,MEG,Megaworld Corporation,
PSE,MER,Manila Electric Co.,
PSE,MPI,Metro Pacific Investments Corporation,
PSE,PAL,PAL Holdings, Inc.,
PSE,PGOLD,Puregold Price Club, Inc.,
PSE,RLC,Robinsons Land Corp.,
PSE,RRHI,Robinsons Retail Holdings, Inc.,
PSE,SCC,Semirara Mining and Power Corporation,
PSE,SM,SM Investments Corp.,
PSE,SMC,San Miguel Corporation,
PSE,SMPH,SM Prime Holdings Inc.,
PSE,URC,Universal Robina Corporation,
SET,ADVANC,Advanced Info Service Public Company Limited,
SET,AOT,Airports of Thailand Public Company Limited,
SET,BANPU,Banpu Public Company Limited,
SET,BAY,Bank of Ayudhya Public Company Limited,
SET,BBL,Bangkok Bank Public Co. Ltd.,
SET,BCP,Bangchak Petroleum Public Co. Ltd.,
SET,BDMS,Bangkok Dusit Medical Services Public Company Limited,
SET,BEC,BEC World Public Company Limited,
SET,BH,Bumrungrad Hospital Public Company Limited,
SET,BIGC,Big C Supercenter Public Company Ltd.,
SET,BJC,Berli Jucker Public Co. Ltd.,
SET,BLA,Bangkok Life Assurance Public Company Limited,
SET,BTS,BTS Group Holdings Public Company Limited,
SET,BTSGIF,BTS Rail Mass Transit Growth Infrastructure Fund,
SET,CENTEL,Central Plaza Hotel Public Company Limited,
SET,CK,CH Karnchang Public Company Limited,
SET,CPALL,CP ALL Public Company Limited,
SET,CPF,Charoen Pokphand Foods Public Co. Ltd.,
SET,CPN,Central Pattana Public Company Limited,
SET,DELTA,Delta Electronics Thailand Public Company Limited,
SET,DTAC,Total Access Communication Public Company Limited,
SET,EA,Energy Absolute Public Company Limited,
SET,EGCO,Electricity Generating Public Company Limited,
SET,GLOW,Glow Energy Public Company Limited,
SET,HMPRO,Home Product Center Public Company Limited,
SET,INTUCH,Intouch Holdings Public Company Limited,
SET,IRPC,IRPC Public Company Limited,
SET,IVL,Indorama Ventures Public Company Limited,
SET,KBANK,Kasikornbank Public Company Limited,
SET,KTB,Krung Thai Bank Public Company Limited,
SET,LH,Land and Houses Public Company Limited,
SET,M,MK Restaurant Group Public Company Limited,
SET,MAKRO,Siam Makro Public Company Limited,
SET,MINT,Minor International PCL,
SET,PS,Pruksa Real Estate Public Company Limited,
SET,PTT,PTT Public Company Limited,
SET,PTTEP,PTT Exploration and Production Public Company Limited,
SET,PTTGC,PTT Global Chemical Public Company Limited,
SET,RATCH,Ratchaburi Electricity Generating Holding Public Company Limited,
SET,ROBINS,Robinson Department Store Public Company Limited,
SET,SCB,The Siam Commercial Bank Public Company Limited,
SET,SCC,The Siam Cement Public Company Limited,
