Date	cusip	sedol	compustat_id	ROE	CFROIC	LTDE	CapAcqRatio	ShareChg	CashCycle	NetProfitMargin	WCAccruals	BP	PM12M1M	PM1M	LogMktCap	AnnVol12M	AnnVol1M	HL1M	LogTTMSales	FCFP	EBITDAEV	EP	AstAdjChg1YFCF	AstAdjChg1YOCF	Chg1YAstTo	Chg1YEPS	PM9M	Beta60M	SusGrwRate	90DCV	DivP	SEV	AccrualRatioCF	PM5D	NIStab	LTGC	EstDiffC	SUEC	EPSNumRevFY1C	PM-style	HG-style	CE-style	Val-style	EQ-style	Sz-style	Vol-style	AE-style
2014-03-11		B66J4M2	29488301W	4	2		3	2	5	1	3	3	3	3	5	5	5	4	2	3	4	4	3	3	5	2	3			5	1	5	2	4						4	4	3	4	2	3	5	
2014-03-11		B4YD2F1	29516901W	1	2	2	2	2	4	1	5	4	1	3	4	4	5		4	2	2	1	2	2	2	1	2		1	5	5	3	4	3			1	2	1	1	1	1	2	4	4	5	1
2014-03-11		B51C3Z5	29565801W	3	1	2	1	2	2	3	2	2	3	5	2	2	2	4	3	1	1	2	1	1	2	1	2		3	2	4	1	1	2						4	1	1	1	1	2	1	
2014-03-11		B8XS415	29574101W	1	5	5	5	2	5	1	5	5	1	4	5	3	3	2	5	4	2	1	2	2	1	1	1		1	1	1	4	5	4			5		5	1	1	4	2	5	5	2	5
2014-03-11		B5VJ0F5	29584601W	3	5	3	3	2	3	3	4	4	5	5	5	4	3	4	5	4	3	2	4	5	3	4	4			4		3	5	4		5	3	4	2	5	4	3	4	5	5	4	3
2014-03-11		B8K6P97	31331201W	5	5		5	5	4	5	5	4	5	2	3	3	2	4	4	5	5	5	5	5	3	5	5		2	3	1	2	4	5						5	5	5	4	5	4	3	
2014-03-11		B8F66C2	31379801W	2	4	5	4	1	3	3	4	3	5	3	4	4	4	2	5	4	2	2	2	4	4	3	5		1	2	4	2	4	2		4	4	3	4	4	2	3	2	4	5	3	5
2014-03-11		BCBGG68	31581301W	4	3	4	4	5	1	5	2	4		5	5	2	2	3	3	4	4	4	4	3	5					1		5	5	5			1		1	5	4	4	4	2	4	1	1
2014-03-11		BGD8Y55	31655001W	1	1		2	5	2	2	2	5		5	3	1	1	4	3	2	2	2	2	1	2	1			1	1	3	3		3						5	1	1	3	1	3	1	
2014-03-11		BJ3Q6B0	31712701W	1	1	5	4	1	3	2	5	1		2	1	4	3	2	3	5	1	1	5	3	5	3				5		1		2						1	5	1	1	4	1	4	
