Company Name	API ID
CSC HOLDINGS LTD	C06:SGX
CSE GLOBAL LTD	544:SGX
CWT LIMITED	C14:SGX
DAIRY FARM INT'L HOLDINGS LTD	D01:SGX
DAPAI INTL HLDG CO. LTD.	FP1:SGX
DARCO WATER TECHNOLOGIES LTD	5CB:SGX
DATAPULSE TECHNOLOGY LIMITED	D04:SGX
DBS GROUP HOLDINGS LTD	D05:SGX
DEBAO PROPERTY DEVELOPMENT LTD	K2M:SGX
DECLOUT LIMITED	5UZ:CATALIST
DEL MONTE PACIFIC LIMITED	D03:SGX
DELONG HOLDINGS LIMITED	B1N:SGX
DESIGN STUDIO GROUP LTD.	D11:SGX
DIGILAND INTERNATIONAL LTD	G77:SGX
DMX TECHNOLOGIES GROUP LTD	5CH:SGX
DRAGON GROUP INTL LIMITED	MT1:SGX
DUKANG DISTILLERS HLDGS LTD	GJ8:SGX
DUTECH HOLDINGS LIMITED	CZ4:SGX
DUTY FREE INTERNATIONALLIMITED	5SO:CATALIST
DYNA-MAC HOLDINGS LTD.	NO4:SGX
DYNAMIC COLOURS LIMITED	D6U:SGX
E2-CAPITAL HOLDINGS LIMITED	5OF:CATALIST
EASTERN HOLDINGS LTD	5KU:SGX
EASTGATE TECHNOLOGY LTD	N0L:SGX
ECOWISE HOLDINGS LIMITED	5CT:SGX
ECS HOLDINGS LIMITED	E18:SGX
ELEC & ELTEK INT CO LTD	E16:SGX
ELEKTROMOTIVE GROUP LIMITED	5VU:CATALIST
ELLIPSIZ LTD	E13:SGX
EMS ENERGY LIMITED	5DE:CATALIST
ENGRO CORPORATION LIMITED	S44:SGX
ENVIRO-HUB HOLDINGS LTD	L23:SGX
EPICENTRE HOLDINGS LIMITED	5MQ:CATALIST
EQUATION CORP LIMITED	532:CATALIST
ERATAT LIFESTYLE LIMITED	FO8:SGX
ES GROUP (HOLDINGS) LIMITED	5RC:CATALIST
ETIKA INTERNATIONAL HLDGS LTD	5FR:SGX
EU YAN SANG INTERNATIONAL LTD	E02:SGX
EUCON HOLDING LIMITED	E27:SGX
EUNETWORKS GROUP LIMITED	5VT:CATALIST
EUROPTRONIC GROUP LTD	E23:SGX
EUROSPORTS GLOBAL LIMITED	5G1:CATALIST
EXCELPOINT TECHNOLOGY LTD	E17:SGX
EZION HOLDINGS LIMITED	5ME:SGX
EZRA HOLDINGS LIMITED	5DN:SGX
F J BENJAMIN HOLDINGS LTD	F10:SGX
FABCHEM CHINA LIMITED	I54:SGX
FALCON ENERGY GROUP LIMITED	5FL:SGX
FAR EAST GROUP LIMITED	5TJ:CATALIST
FAR EAST HOSPITALITY TRUST	Q5T:SGX
FAR EAST ORCHARD LIMITED	O10:SGX
FEDERAL INT(2000) LTD	F20:SGX
FIBRECHEM TECHNOLOGIES LIMITED	F12:SGX
FIGTREE HOLDINGS LIMITED	5F4:CATALIST
FIRST REAL ESTATE INV TRUST	AW9U:SGX
FIRST RESOURCES LIMITED	EB5:SGX
FIRST SHIP LEASE TRUST	D8DU:SGX
FISCHER TECH LTD	F22:SGX
FOOD EMPIRE HOLDINGS LIMITED	F03:SGX
FORELAND FABRICTECH HLDS LTD	B0I:SGX
FORTERRA TRUST	LG2U:SGX
FORTUNE REAL ESTATE INV TRUST	F25U:SGX
FRAGRANCE GROUP LIMITED	F31:SGX
"FRASER AND NEAVE, LIMITED"	F99:SGX
FRASERS CENTREPOINT LIMITED	TQ5:SGX
FRASERS CENTREPOINT TRUST	J69U:SGX
FRASERS COMMERCIAL TRUST	ND8U:SGX
FRENCKEN GROUP LIMITED	E28:SGX
FU YU CORPORATION LTD	F13:SGX
FUJI OFFSET PLATES MFG LTD	508:CATALIST
FUJIAN ZHENYUN PLAS IND CO LTD	5KT:CATALIST
FULL APEX (HOLDINGS) LIMITED	F18:SGX
FUNG CHOI MEDIA GROUP LIMITED	F11:SGX
FUXING CHINA GROUP LIMITED	DC9:SGX
G. K. GOH HOLDINGS LIMITED	G41:SGX
GALLANT VENTURE LTD.	5IG:SGX
GAYLIN HOLDINGS LIMITED	RF7:SGX
GDS GLOBAL LIMITED	5VP:CATALIST
GEMS TV HOLDINGS LIMITED	AM3:SGX
GENTING HONG KONG LIMITED	S21:SGX
GENTING SINGAPORE PLC	G13:SGX
GEO ENERGY RESOURCES LIMITED	RE4:SGX
GIKEN SAKATA (S) LIMITED	542:CATALIST
GKE CORPORATION LIMITED	595:CATALIST
GLOBAL INVACOM GROUP LIMITED	QS9:SGX
GLOBAL INVESTMENTS LIMITED	B73:SGX
GLOBAL LOGISTIC PROP LIMITED	MC0:SGX
GLOBAL PALM RESOURCES HLGS LTD	K6J:SGX
GLOBAL PREMIUM HOTELS LIMITED	P9J:SGX
GLOBAL TECH (HLDGS) LIMITED	G11:SGX
GLOBAL TESTING CORPORATION LTD	G31:SGX
GLOBAL YELLOW PAGES LIMITED	Y07:SGX
GMG GLOBAL LTD	5IM:SGX
GOLDEN AGRI-RESOURCES LTD	E5H:SGX
GOLDEN OCEAN GROUP LIMITED	KU3:SGX
GOODLAND GROUP LIMITED	5PC:SGX
GOODPACK LIMITED	G05:SGX
GP BATTERIES INT LTD	G08:SGX
GP INDUSTRIES LIMITED	G20:SGX
GRAND BANKS YACHTS LIMITED	G50:SGX
GREAT EASTERN HLDGS LTD	G07:SGX
GREAT GROUP HOLDINGS LIMITED	I5H:SGX
GRP LTD	G18:SGX
GSH CORPORATION LIMITED	J16:SGX
GUOCOLAND LIMITED	F17:SGX
GUOCOLEISURE LIMITED	B16:SGX
HAFARY HOLDINGS LIMITED	5VS:SGX
HAI LECK HOLDINGS LIMITED	GG7:SGX
HALCYON AGRI CORPORATION LTD	5VJ:CATALIST
HANKORE ENVIRONMENT TEC GRPLTD	B22:SGX
HANWELL HOLDINGS LIMITED	DM0:SGX
HAW PAR CORP LTD	H02:SGX
HEALTH MANAGEMENT INTL LTD	588:SGX
HEALTHWAY MEDICAL CORP LTD	5NG:CATALIST
HEATEC JIETONG HOLDINGS LTD.	5OR:CATALIST
HEETON HOLDINGS LIMITED	5DP:SGX
HENGXIN TECHNOLOGY LTD.	I85:SGX
HENGYANG PETROCHEM LOG LIMITED	5PD:CATALIST
HG METAL MANUFACTURING LTD	526:SGX
HIAP HOE LIMITED	5JK:SGX
HIAP SENG ENGINEERING LTD	510:SGX
HIAP TONG CORPORATION LTD.	5PO:CATALIST
HI-P INTERNATIONAL LIMITED	H17:SGX
HISAKA HOLDINGS LTD.	FV2:SGX
HL GLOBAL ENTERPRISES LIMITED	L18:SGX
HLH GROUP LIMITED	H27:SGX
HO BEE LAND LIMITED	H13:SGX
HOCK LIAN SENG HOLDINGS LTD	J2T:SGX
HOE LEONG CORPORATION LTD.	H20:SGX
HONG FOK CORPORATION LTD	H30:SGX
HONG LEONG ASIA LTD.	H22:SGX
HONG LEONG FINANCE LIMITED	S41:SGX
HONGKONG LAND HOLDINGS LIMITED	H78:SGX
HOR KEW CORPORATION LIMITED	H06:SGX
HOSEN GROUP LTD	5EV:CATALIST
HOTEL GRAND CENTRAL LTD	H18:SGX
HOTEL PROPERTIES LTD	H15:SGX
HOTEL ROYAL LTD	H12:SGX
HOTUNG INVESTMENT HLDGS LTD	NT1:SGX
HTL INT'L HOLDINGS LIMITED	H64:SGX
HU AN CABLE HOLDINGS LTD.	KI3:SGX
HUAN HSIN HOLDINGS LTD	H16:SGX
HUPSTEEL LTD	H73:SGX
HUTCHISON PORT HOLDINGS TRUST	NS8U:SGX
HWA HONG CORPORATION LIMITED	H19:SGX
HYFLUX LTD	600:SGX
ICP LTD	536:CATALIST
ICP LTD	5I4:CATALIST
IEV HOLDINGS LIMITED	5TN:CATALIST
IFS CAPITAL LIMITED	I49:SGX
IHH HEALTHCARE BERHAD	Q0F:SGX
INCH KENNETH KAJANG RUBBER PLC	I4R:SGX
INDIABULLS PROPERTIES INVTRUST	F3EU:SGX
INDOFOOD AGRI RESOURCES LTD.	5JS:SGX
INFINIO GROUP LIMITED	5G4:CATALIST
INFORMATICS EDUCATION LTD.	I03:SGX
INNOPAC HOLDINGS LIMITED	I26:SGX
INNOTEK LIMITED	M14:SGX
INNOVALUES LIMITED	591:SGX
INTERNATIONAL PRESS SOFTCOM	571:CATALIST
INTERRA RESOURCES LIMITED	5GI:SGX
INTL HEALTHWAY CORP LIMITED	5WA:CATALIST
INTRACO LIMITED	I06:SGX
IPC CORPORATION LIMITED	I12:SGX
IPCO INT'L LIMITED	I11:SGX
ISDN HOLDINGS LIMITED	I07:SGX
ISETAN (SINGAPORE) LTD	I15:SGX
ISOTEAM LTD.	5WF:CATALIST
ISR CAPITAL LIMITED	5EC:SGX
ITE ELECTRIC CO LTD	581:CATALIST
JACKS INTERNATIONAL LIMITED	J11:SGX
JACKSPEED CORPORATION LIMITED	J17:SGX
JADASON ENTERPRISES LTD	J03:SGX
JAPAN FOODS HOLDING LTD.	5OI:CATALIST
JARDINE CYCLE & CARRIAGE LTD	C07:SGX
JARDINE MATHESON HLDGS LTD	J36:SGX
