Company Name,Stock Code:Market,ISIN Code,HP Short Name
CNMC GOLDMINE HOLDINGS LIMITED,5TP:CATALIST,SG2D72974892,CNMC Goldmine
PARKSON RETAIL ASIA LIMITED,O9E:SGX,SG2D81975377,Parkson Retail
LIBRA GROUP LIMITED,5TR:CATALIST,SG2D82975475,Libra
JK TECH HOLDINGS LIMITED,5TS:CATALIST,SG2D85975506,JK Tech
TA CORPORATION LTD,PA3:SGX,SG2D87975520,TA
VGO CORPORATION LIMITED,PH0:SGX,SG2D90976473,VGO
KEONG HONG HOLDINGS LIMITED,5TT:CATALIST,SG2D92977651,Keong Hong
CHASWOOD RESOURCES HLDGS LTD.,5TW:CATALIST,SG2E59979590,ChasWood Res
CORDLIFE GROUP LIMITED,P8A:SGX,SG2E64980112,Cordlife
ADVANCED SYSTEMS AUTOMATION,5TY:CATALIST,SG2E65980228,Advanced Systems
BUMITAMA AGRI LTD.,P8Z:SGX,SG2E67980267,Bumitama Agri
CIVMEC LIMITED,P9D:SGX,SG2E68980290,Civmec
GLOBAL PREMIUM HOTELS LIMITED,P9J:SGX,SG2E69980364,GP Hotels
STARLAND HOLDINGS LIMITED,5UA:CATALIST,SG2E72981474,Starland
Q & M DENTAL GROUP (S) LIMITED,QC7:SGX,SG2E73981531,Q&M Dental
SWEE HONG LIMITED,QF6:SGX,SG2E77981776,Swee Hong
METECH INTERNATIONAL LIMITED,QG1:SGX,SG2E79981816,Metech Intl
SHC CAPITAL ASIA LIMITED,5UE:CATALIST,SG2E89982663,SHC Capital Asia
MAXI-CASH FIN SVCS CORP LTD,5UF:CATALIST,SG2E90982678,Maxi-Cash Fin
GLOBAL INVACOM GROUP LIMITED,QS9:SGX,SG2E91982768,G Invacom
IHH HEALTHCARE BERHAD,Q0F:SGX,MYL5225OO007,IHH
NEO GROUP LIMITED,5UJ:CATALIST,SG2E97983414,Neo
ATLANTIC NAVIGATION HLDG(S)LTD,5UL:CATALIST,SG2F00983534,Atlantic Nav
JB FOODS LIMITED,Q0W:SGX,SG2F01983590,JB Foods
LEY CHOON GROUP HLDG LIMITED,Q0X:SGX,SG2F02983607,Ley Choon
SINCAP GROUP LIMITED,5UN:CATALIST,SG2F03983689,Sincap
ASCENDAS HOSPITALITY TRUST,Q1P:SGX,SG2F05983695,Ascendas-hTrust
SYSMA HOLDINGS LIMITED,5UO:CATALIST,SG2F06984247,Sysma
FAR EAST HOSPITALITY TRUST,Q5T:SGX,SG2F08984575,Far East HTrust
SURFACE MOUNT TECH (HLDGS) LTD,Q7Q:SGX,BMG8584Y1396,Surface Mount^
LANTROVISION (S) LTD,Q7W:SGX,SG2F14985160,LantroVision
P99 HOLDINGS LIMITED,5UV:CATALIST,SG2F17985415,P99
TRIYARDS HOLDINGS LIMITED,RC5:SGX,SG2F20985956,Triyards
COURTS ASIA LIMITED,RE2:SGX,SG2F22986069,Courts Asia
GEO ENERGY RESOURCES LIMITED,RE4:SGX,SG2F24986083,Geo Energy Res
OXLEY HOLDINGS LIMITED,5UX:SGX,SG2F25986140,Oxley
RELIGARE HEALTH TRUST,RF1U:SGX,SG2F26986156,Religare HTrust
DECLOUT LIMITED,5UZ:CATALIST,SG2F27986197,DeClout
GAYLIN HOLDINGS LIMITED,RF7:SGX,SG2F28986253,Gaylin
KORI HOLDINGS LIMITED,5VC:CATALIST,SG2F40988253,Kori
LOGISTICS HOLDINGS LIMITED,5VI:CATALIST,SG2F47989262,Logistics
HALCYON AGRI CORPORATION LTD,5VJ:CATALIST,SG2F48989824,Halcyon Agri
OVERSEAS EDUCATION LIMITED,RQ1:SGX,SG2F49989922,Overseas Edu
CHINA ENVIRONMENTAL RES GP LTD,RS1:SGX,KYG215691430,China Env Res 4k
MAPLETREE GREATER CHINACOMM TR,RW0U:SGX,SG2F55990442,Mapletree GCC Tr
TOSEI CORPORATION,S2D:SGX,JP3595070008,Tosei 100
GDS GLOBAL LIMITED,5VP:CATALIST,SG2F65991521,GDS Global
OKH GLOBAL LTD.,S3N:SGX,BMG6730R1079,OKH Global
CROESUS RETAIL TRUST,S6NU:SGX,SG2F73992297,Croesus RTrust
HAFARY HOLDINGS LIMITED,5VS:SGX,SG2F75992345,Hafary
EUNETWORKS GROUP LIMITED,5VT:CATALIST,SG2F76992880,EuNetworks
ASIAN PAY TELEVISION TRUST,S7OU:SGX,SG2F77993036,Asian Pay Tv Tr
SOILBUILD CONSTRUCTION GRP LTD,S7P:SGX,SG2F78993043,Soilbuild Const
TEE LAND LIMITED,S9B:SGX,SG2F79993489,Tee Land
ELEKTROMOTIVE GROUP LIMITED,5VU:CATALIST,SG2F80993502,Elektromotive
INTL HEALTHWAY CORP LIMITED,5WA:CATALIST,SG2F86994413,IHC
PS GROUP HOLDINGS LTD.,5WD:CATALIST,SG2F90994508,PS Group
MOYA HOLDINGS ASIA LIMITED,5WE:CATALIST,SG2F94994512,Moya Asia
ISOTEAM LTD.,5WF:CATALIST,SG2F95994529,ISOTeam
KRISENERGY LTD.,SK3:SGX,KYG532261099,KrisEnergy
SINGAPORE KITCHEN EQUIPMENTLTD,5WG:CATALIST,SG2F97994568,SingaporeKitchen
SPH REIT,SK6U:SGX,SG2G02994595,SPHREIT
OUE HOSPITALITY TRUST,SK7:SGX,SG2G03994610,OUE HTrust
REX INTERNATIONAL HOLDING LTD,5WH:CATALIST,SG2G04994999,Rex Intl
MONEYMAX FINANCIAL SERVICESLTD,5WJ:CATALIST,SG2G06995143,MoneyMax Fin
SOILBUILD BUSINESS SPACE REIT,SV3U:SGX,SG2G07995670,SoilbuildBizReit
"XYEC HOLDINGS CO., LTD.",5WR:CATALIST,JP3386480002,Xyec
SINO GRANDNESS FOOD IND GP LTD,T4B:SGX,SG2G19997136,Sino Grandness
COMPACT METAL INDUSTRIES LTD,T4E:SGX,SG2G22997172,Compact Metal
ASIAPHOS LIMITED,5WV:CATALIST,SG2G24997246,AsiaPhos
VALUEMAX GROUP LIMITED,T6I:SGX,SG2G29997704,ValueMax
VIVA INDUSTRIAL TRUST,T8B:SGX,SG2G31998161,Viva Ind Tr
SAIZEN REAL ESTATE INV TRUST,T8JU:SGX,SG2G35998266,Saizen Reit
FIGTREE HOLDINGS LIMITED,5F4:CATALIST,SG2G36998349,Figtree
PACIFIC RADIANCE LTD.,T8V:SGX,SG2G39998387,Pacific Radiance
WILTON RESOURCES CORP LIMITED,5F7:CATALIST,SG2G45999965,Wilton Resources
AAT CORPORATION LIMITED,TF7:SGX,AU000000AAT3,AAT
LINC ENERGY LTD,TI6:SGX,AU000000LNC9,Linc Energy
"PAN OCEAN CO., LTD.",TO9:SGX,KR7028670008,Pan Ocean 100
FRASERS CENTREPOINT LIMITED,TQ5:SGX,SG2G52000004,Frasers Cpt
EUROSPORTS GLOBAL LIMITED,5G1:CATALIST,SG2G55000001,EuroSports Gbl
KIMHENG OFFSHORE&MARINE HLDLTD,5G2:CATALIST,SG2G57000009,KimHeng Offshore
OUE COMMERCIAL REIT,TS0U:SGX,SG2G60000004,OUE Com Reit
TALKMED GROUP LIMITED,5G3:CATALIST,SG2G61000003,TalkMed
INFINIO GROUP LIMITED,5G4:CATALIST,SG2G63000001,Infinio
TRITECH GROUP LIMITED,5G9:CATALIST,SG2G71000001,Tritech
SINGHAIYI GROUP LTD.,5H0:CATALIST,SG2G73000009,SingHaiyi
QT VASCULAR LTD.,5I0:CATALIST,SG2G82000008,QT Vascular
PACC OFFSHORE SVCS HLDG LTD.,U6C:SGX,SG2G83000007,POSH
KOP LIMITED,5I1:CATALIST,SG2G85000005,KOP
JASON HOLDINGS LIMITED,5I3:CATALIST,SG2G86000004,JasonHldg
ICP LTD,5I4:CATALIST,SG2G87000003,ICP Ltd
HANKORE ENVIRONMENT TEC GRPLTD,U9E:SGX,BMG4288B1292,HanKoreEnv
SUNMOON FOOD COMPANY LIMITED,AAJ:SGX,SG1AA2000004,SunMoonFood
IPS SECUREX HOLDINGS LIMITED,40A:CATALIST,SG1AA3000003,IPS Securex
SMJ INTERNATIONAL HOLDINGSLTD.,40B:CATALIST,SG1AA4000002,SMJ Intl
FRASERS HOSPITALITY TRUST,ACV:SGX,SG1AA5000001,Frasers HTrust
CHIWAYLAND INTERNATIONAL LTD,ACW:SGX,SG1AA6000000,Chiwayland Intl
STARBURST HOLDINGS LIMITED,40D:CATALIST,SG1AA7000009,Starburst
OLS ENTERPRISE LTD.,ADJ:SGX,SG1AA8000008,OLS^
FIRST SPONSOR GROUP LIMITED,ADN:SGX,KYG3488W1078,First Sponsor
SPACKMAN ENTERTAINMENT GRP LTD,40E:CATALIST,SG1AB0000004,Spackman
ALLIANCE MINERAL ASSETSLIMITED,40F:CATALIST,AU0000XINEV7,Alliance Mineral
SWISSCO HOLDINGS LIMITED,ADP:SGX,SG1AB2000002,Swissco Hldg
TERRATECH GROUP LIMITED,40I:CATALIST,KYG8763X1007,Terratech
ACCORDIA GOLF TRUST,ADQU:SGX,SG1AB5000009,Accordia Golf Tr
W CORPORATION LIMITED,AFC:SGX,BMG4897Y1223,WCorp^
