Company Name,Stock Code:Market,ISIN Code,HP Short Name
SERIAL SYSTEM LTD,S69:SGX,SG1E36851343,Serial System
LION TECK CHIANG LTD,L17:SGX,SG1E42851378,Lion Teck Chiang
POPULAR HOLDINGS LIMITED,P29:SGX,SG1E47852223,Popular
UNITED FIBER SYSTEM LIMITED,P30:SGX,SG1E52852266,UniFiber System
TYE SOON LTD,T08:SGX,SG1E56852940,Tye Soon
GP BATTERIES INT LTD,G08:SGX,SG0964000491,GP Batteries
TIANJIN ZHONG XIN PHARM GROUP,T14:SGX,CNE100000924,Tianjin ZX USD
AMARA HOLDINGS LTD,A34:SGX,SG1F08854688,Amara
SAMUDERA SHIPPING LINE LTD,S56:SGX,SG1F29855813,SamuderaShipping
TRANSIT-MIXED CONCRETE LTD,570:SGX,SG1F41856716,Transit Concrete
PENGUIN INTERNATIONAL LIMITED,P13:SGX,SG1F42856756,Penguin Intl
PROGEN HOLDINGS LTD,583:CATALIST,SG1F48858053,Progen
SBS TRANSIT LTD,S61:SGX,SG1F58858209,SBS Transit 500
SINGAPORE TECH ENGINEERING LTD,S63:SGX,SG1F60858221,ST Engineering
CHINA DAIRY GROUP LTD,T16:SGX,SG1F67858919,China Dairy
HONG LEONG ASIA LTD.,H22:SGX,SG1F76860344,Hong Leong Asia
GENTING HONG KONG LIMITED,S21:SGX,BMG3924T1062,Genting HK US$
CSC HOLDINGS LTD,C06:SGX,SG1F84861094,CSC
TAI SIN ELECTRIC LIMITED,500:SGX,SG1F88861140,Tai Sin Electric
KLW HOLDINGS LTD,504:CATALIST,SG1G23864448,KLW
ENVIRO-HUB HOLDINGS LTD,L23:SGX,SG1G27865383,Enviro-Hub
SPINDEX INDUSTRIES LIMITED,564:SGX,SG1G32866137,Spindex Ind
SEE HUP SENG LIMITED,566:SGX,SG1G33866144,See Hup Seng
CPH LTD,539:CATALIST,SG1G40868794,CPH
CSE GLOBAL LTD,544:SGX,SG1G47869290,CSE Global
CHOSEN HOLDINGS LIMITED,C10:SGX,SG1G50869484,Chosen
LIAN BENG GROUP LTD,L03:SGX,SG1G55870362,Lian Beng
COLEX HOLDINGS LIMITED,567:CATALIST,SG1G56870536,Colex
VICPLAS INTERNATIONAL LTD,569:SGX,SG1G57870584,Vicplas Intl
POH TIONG CHOON LOGISTICS LTD,P01:SGX,SG1G60871280,Poh Tiong Choon
HIAP SENG ENGINEERING LTD,510:SGX,SG1G69871497,Hiap Seng
ASPIAL CORPORATION LIMITED,A30:SGX,SG1G71871634,Aspial
XPRESS HOLDINGS LTD,I04:SGX,SG1G74871706,Xpress
ASTI HOLDINGS LIMITED,575:SGX,SG1G77872271,ASTI
LHT HOLDINGS LIMITED,L10:SGX,SG1G86872619,LHT
MAGNUS ENERGY GROUP LTD.,576:CATALIST,SG1G89872947,Magnus Energy
KS ENERGY LIMITED,578:SGX,SG1G91873040,KS Energy
INTERNATIONAL PRESS SOFTCOM,571:CATALIST,SG1G93873220,IP Softcom
TIONG WOON CORP HOLDING LTD,T06:SGX,SG1G98873449,Tiong Woon
SHANGRI-LA ASIA LIMITED,S07:SGX,BMG8063F1068,Shangri-La 2kHKD
ASIAN MICRO HOLDINGS LTD,585:CATALIST,SG1H05873721,Asian Micro
TMC EDUCATION CORPORATION LTD,586:CATALIST,SG1H06873795,TMC Education
DAIRY FARM INT'L HOLDINGS LTD,D01:SGX,BMG2624N1535,DairyFarm 900USD
YONGNAM HOLDINGS LIMITED,Y02:SGX,SG1H15874503,Yongnam
HEALTH MANAGEMENT INTL LTD,588:SGX,SG1H18874567,HMI
S I2I LIMITED,M09:SGX,SG1H33875235,S i2i
CHIP ENG SENG CORPORATION LTD,C29:SGX,SG1H36875612,Chip Eng Seng
HO BEE LAND LIMITED,H13:SGX,SG1H41875896,Ho Bee Land
CHUAN HUP HOLDINGS LIMITED,C33:SGX,SG1H43875910,Chuan Hup
LOYZ ENERGY LIMITED,594:CATALIST,SG1H44875935,Loyz Energy
MFG INTEGRATION TECHNOLOGY LTD,M11:SGX,SG1H45875967,MFG Integration
KINGBOARD COPPER FOIL HDGS LTD,K14:SGX,BMG525671076,Kingboard Copper
SINARMAS LAND LIMITED,A26:SGX,SG1E97853881,Sinarmas Land
YUEXIU PROPERTY CO LIMITED,G10:SGX,HK0123000694,Yuexiu Prop 2k
CHINA INTERNATIONAL HLDGS LTD,C37:SGX,BMG2113G1078,China Intl
DEL MONTE PACIFIC LIMITED,D03:SGX,VGG270541169,Del Monte Pac
LION ASIAPAC LTD,L08:SGX,SG1F31001349,Lion Asiapac
GP INDUSTRIES LIMITED,G20:SGX,SG1C12012995,GP Industries
HUAN HSIN HOLDINGS LTD,H16:SGX,SG1E67853093,HuanHsin^
RH PETROGAS LIMITED,T13:SGX,SG1H00001443,RH PetroGas
MEDTECS INTERNATIONAL CORP LTD,546:CATALIST,BMG5958R1043,Medtecs Intl
INNOTEK LIMITED,M14:SGX,SG1F66858902,InnoTek
HWA HONG CORPORATION LIMITED,H19:SGX,SG1H85877246,Hwa Hong
SEMBCORP MARINE LTD,S51:SGX,SG1H97877952,Sembcorp Marine
CRAFT PRINT INTERNATIONAL LTD,541:CATALIST,SG1I02877971,Craft Print
STATS CHIPPAC LTD,S24:SGX,SG1I04877995,STATS ChipPAC
MULTI-CHEM LIMITED,M06:SGX,SG1I06878272,Multi-Chem
JAYA HOLDINGS LTD,J10:SGX,SG1I07878305,Jaya
YEO HIAP SENG LTD,Y03:SGX,SG1I10878425,Yeo Hiap Seng
METRO HOLDINGS LIMITED,M01:SGX,SG1I11878499,Metro
MANHATTAN RESOURCES LIMITED,L02:SGX,SG1I14879601,Manhattan Res
CEI CONTRACT MANUFACTURING LTD,C11:SGX,SG1I20879900,CEI Contract Mfg
IPCO INT'L LIMITED,I11:SGX,SG1C67001091,IPCO Intl
TPV TECHNOLOGY LIMITED,T18:SGX,BMG8984D1074,TPV Tech
LERENO BIO-CHEM LTD.,587:CATALIST,SG1I29881105,Lereno Bio-Chem
LAFE CORPORATION LIMITED,L05:SGX,BMG5352E1057,Lafe
NEXT-GEN SATELLITE COMM LTD,B07:SGX,SG1I31881119,Next-Gen Sat^
HOR KEW CORPORATION LIMITED,H06:SGX,SG1I37881659,Hor Kew
LEE KIM TAH HLDGS LIMITED,L25:SGX,SG1I40881829,Lee Kim Tah
LEE METAL GROUP LTD,593:SGX,SG1I42881876,Lee Metal
FOOD EMPIRE HOLDINGS LIMITED,F03:SGX,SG1I44882534,Food Empire
JACKS INTERNATIONAL LIMITED,J11:SGX,SG1I45882541,Jacks Intl
PAVILLON HOLDINGS LTD.,596:SGX,SG1I46882631,Pavillon
STAMFORD LAND CORPORATION LTD,H07:SGX,SG1I47882655,Stamford Land
