84,GTI2014,SG2D58973959,O2I,AVIC INTERNATIONAL INVESTMENTS LTD (CURRENTLY KNOWN AS AVIC INTERNATIONAL MARITIME HLDGS LTD),31-Dec-13,45,13,58
84,GTI2014,SG1G47869290,544,CSE GLOBAL LTD,31-Dec-13,62,-4,58
84,GTI2014,SG1A48000743,H64,HTL INTERNATIONAL HLDGS LTD,31-Dec-13,64,-6,58
84,GTI2014,SG0507000073,M05,MTQ CORP LTD,31-Mar-13,52,6,58
84,GTI2014,SG1I64883495,N01,NERA TELECOMMUNICATIONS LTD,31-Dec-13,57,1,58
84,GTI2014,SG1Q12920787,P31,PHARMESIS INTERNATIONAL LTD,31-Dec-13,55,3,58
84,GTI2014,SG1A49000759,Q01,QAF LTD,31-Dec-13,55,3,58
84,GTI2014,SG1I59882965,5AB,TREK 2000 INTERNATIONAL LTD,31-Dec-13,49,9,58
92,GTI2014,SG1V30936768,CT1,AVI-TECH ELECTRONICS LTD,30-Jun-13,56,1,57
92,GTI2014,SG1V08936188,B9S,COSMOSTEEL HLDGS LTD,30-Sep-13,58,-1,57
92,GTI2014,SG2F27986197,5UZ,DECLOUT LTD,31-Dec-13,50,7,57
92,GTI2014,SG1O10911046,5DE,EMS ENERGY LTD,31-Dec-13,50,7,57
92,GTI2014,SG1C01001033,L38,L.C.DEVELOPMENT LTD (CURRENTLY KNOWN AS LCD GLOBAL INVESTMENTS LTD),30-Jun-13,57,0,57
92,GTI2014,SG2D82975475,5TR,LIBRA GROUP LTD,31-Dec-13,48,9,57
92,GTI2014,SG1M55904841,5CF,OKP HLDGS LTD,31-Dec-13,56,1,57
92,GTI2014,SG1A67000830,P52,PAN-UNITED CORP LTD,31-Dec-13,54,3,57
92,GTI2014,BMG8585U1027,5GD,SUNPOWER GROUP LTD,31-Dec-13,48,9,57
92,GTI2014,SG2D87975520,PA3,TA CORP LTD,31-Dec-13,45,12,57
102,GTI2014,KYG229811156,N0Z,COMBINE WILL INTL HLDGS LTD,31-Dec-13,58,-2,56
102,GTI2014,SG1U86935475,B1N,DELONG HLDGS LTD,31-Dec-13,50,6,56
102,GTI2014,SG1W32938860,D6U,DYNAMIC COLOURS LTD,31-Dec-13,58,-2,56
102,GTI2014,SG2F24986083,RE4,GEO ENERGY RESOURCES LTD,31-Dec-13,47,9,56
102,GTI2014,SG1I11878499,M01,METRO HLDGS LTD,31-Mar-13,56,0,56
102,GTI2014,SG1I06878272,M06,MULTI-CHEM LTD,31-Dec-13,56,0,56
102,GTI2014,BMG6361R1117,N4E,NAM CHEONG LTD,31-Dec-13,48,8,56
102,GTI2014,SG2D81975377,O9E,PARKSON RETAIL ASIA LTD,30-Jun-13,44,12,56
102,GTI2014,SG1T56930848,F34,WILMAR INTERNATIONAL LTD,31-Dec-13,73,-17,56
111,GTI2014,SG1P81919679,5ER,BEST WORLD INTERNATIONAL LTD,31-Dec-13,54,1,55
111,GTI2014,BMG215901155,FQ8,CHINA SPORTS INTL LTD,31-Dec-13,51,4,55
111,GTI2014,SG1I87884967,E02,EU YAN SANG INTERNATIONAL LTD,30-Jun-13,55,0,55
111,GTI2014,SG1H41875896,H13,HO BEE LAND LTD (FORMERLY HO BEE INVESTMENT LTD),31-Dec-13,55,0,55
111,GTI2014,SG2B93959478,LS9,LEADER ENVIRONMENTAL TECH LTD,31-Dec-13,43,12,55
111,GTI2014,SG2F02983607,Q0X,LEY CHOON GROUP HLDG LTD,31-Dec-13,48,7,55
111,GTI2014,SG1D60018406,547,NOBEL DESIGN HLDGS LTD,31-Dec-13,48,7,55
111,GTI2014,SG2C45963924,MR7,NORDIC GROUP LTD,31-Dec-13,51,4,55
111,GTI2014,SG1S32927257,5HC,NTEGRATOR INTERNATIONAL LTD,31-Dec-13,43,12,55
111,GTI2014,SG2B80958517,LJ3,OUE LTD (FORMERLY OVERSEAS UNION ENTERPRISE LTD),31-Dec-13,46,9,55
111,GTI2014,SG1X17940831,5NH,ST. JAMES HLDGS LTD,30-Jun-13,49,6,55
111,GTI2014,SG1P75919099,T41,TELECHOICE INTERNATIONAL LTD,31-Dec-13,57,-2,55
111,GTI2014,SG2C88967436,NI3,UE E&C LTD,31-Dec-13,52,3,55
111,GTI2014,KYG9241B1086,C3T,UNI-ASIA HLDGS LTD (FORMERLY UNI-ASIA FINANCE CORP),31-Dec-13,54,1,55
125,GTI2014,SG2D72974892,5TP,CNMC GOLDMINE HLDGS LTD,31-Dec-13,44,10,54
125,GTI2014,SG1N26909308,A27,MDR LTD,31-Dec-13,58,-4,54
125,GTI2014,SG1W39939069,EE6,MERCATOR LINES (S) LTD,31-Mar-13,44,10,54
125,GTI2014,SG1F29855813,S56,SAMUDERA SHIPPING LINE LTD,31-Dec-13,51,3,54
125,GTI2014,SG2D54973185,OV8,SHENG SIONG GROUP LTD,31-Dec-13,51,3,54
