Exchange,Ticker,Date,Value,Volume,Currency
CATALIST,584,03/02/2015,13185,324000,SGD
CATALIST,584,02/02/2015,6730,160000,SGD
CATALIST,584,30/01/2015,7650,170000,SGD
CATALIST,584,29/01/2015,2140,48000,SGD
CATALIST,584,28/01/2015,13911,312000,SGD
CATALIST,584,27/01/2015,8892,202000,SGD
CATALIST,584,26/01/2015,7798,176000,SGD
CATALIST,584,23/01/2015,29454,653000,SGD
CATALIST,584,22/01/2015,0,0,SGD
CATALIST,584,21/01/2015,31796,727000,SGD
CATALIST,584,20/01/2015,188,4000,SGD
CATALIST,584,19/01/2015,96,2000,SGD
CATALIST,584,16/01/2015,31062,726000,SGD
CATALIST,584,15/01/2015,16133,355000,SGD
CATALIST,584,14/01/2015,2760,60000,SGD
CATALIST,584,13/01/2015,16433,346000,SGD
CATALIST,584,12/01/2015,12740,260000,SGD
CATALIST,584,09/01/2015,17250,345000,SGD
CATALIST,584,08/01/2015,62955,1248000,SGD
CATALIST,584,07/01/2015,18404,359000,SGD
CATALIST,584,06/01/2015,11552,231000,SGD
CATALIST,584,05/01/2015,16464,330000,SGD
CATALIST,584,02/01/2015,0,0,SGD
CATALIST,584,31/12/2014,7987,159000,SGD
CATALIST,584,30/12/2014,550,11000,SGD
CATALIST,584,29/12/2014,0,0,SGD
CATALIST,584,26/12/2014,0,0,SGD
CATALIST,584,24/12/2014,637,12000,SGD
CATALIST,584,23/12/2014,1314,26000,SGD
CATALIST,584,22/12/2014,22940,459000,SGD
CATALIST,584,19/12/2014,0,0,SGD
CATALIST,584,18/12/2014,35162,697000,SGD
CATALIST,584,17/12/2014,3660,70000,SGD
CATALIST,584,16/12/2014,12265,229000,SGD
CATALIST,584,15/12/2014,22915,450000,SGD
CATALIST,584,12/12/2014,11616,218000,SGD
CATALIST,584,11/12/2014,0,0,SGD
CATALIST,584,10/12/2014,17111,327000,SGD
CATALIST,584,09/12/2014,16587,313000,SGD
CATALIST,584,08/12/2014,560,10000,SGD
CATALIST,584,05/12/2014,32600,580000,SGD
CATALIST,584,04/12/2014,21585,387000,SGD
CATALIST,584,03/12/2014,4244,76000,SGD
CATALIST,584,02/12/2014,21272,377000,SGD
